,Question,Answer
636,How can a merchant move money from Pochi to M-PESA account?,"
Merchants can use M-PESA App or USSD to move money from Pochi to M-PESA account.
Move money via the M-PESA App
Move money via USSD.
To move money using the USSD merchant will
Dial *334#

Launch M-PESA App
Click on the icon at the top left conner of the App screen.
Select Pochi la Biashara.
Select Move Money
Select account.
Pochi to M-PESA or
M-PESA to Pochi
Enter Amount and click on continue.
Confirm the transfer.
Enter M-PESA PIN
"
637,How can a merchant send money from their Pochi La Biashara account to another Pochi account?,"
Currently this can only be done via USSD. Merchants will be required to:

Dial *334#
Select Pochi La Biashara
Select Send Money
Select Pochi la Biashara.
Enter Phone Number
Enter Amount
Enter M-PESA PIN.
"
638,How will a merchant send money from Pochi to a mobile number/ M-PESA account of another user?,"
The merchant can use either the M-PESA App or USSD to send money to a mobile number.
Send money via the M-PESA App
On the App merchant will
Send money via USSD.
To move money using the USSD merchant will

Launch M-PESA App
Click on the icon at the top left conner of the screen.
Select Pochi la Biashara.
Select Pay
Select Mobile Number
Enter Mobile Number
Enter Amount
Enter M-PESA PIN
"
639,How can merchants withdraw funds in their Pochi la Biashara account?,"
The Pochi merchant can withdraw funds at an M-PESA agent by:

Dialing *334#
Select Pochi la Biashara.
Select Withdraw Cash
Enter Agent Number
Enter Store Number
Enter Amount
Enter M-PESA PIN
"
640,How can a merchant Sell Airtime from Pochi la Biashara account?,"
To sell airtime the customer will use USSD.
Selling airtime will earn the merchant a commission of 5% of the value of airtime sold.

Dial *334#
Select Pochi La Biashara
Select Sell Airtime
Select Sell Airtime
Enter the buyer Phone Number
Enter Amount
Enter M-PESA PIN.
"
641,How can a merchant buy airtime for themselves from Pochi la Biashara?,"No commission is paid where one buys airtime for themselves

Dial *334#
Select Pochi La Biashara
Select Sell Airtime
Select Buy for My Number
Enter Amount
Confirm and accept.
Enter M-PESA PIN.
"
642,How can a merchant use Lipa na Pochi to make payments to Buy Goods or PayBill?,"
Lipa na Pochi is a service found on USSD that enables merchants to pay to PayBill or Buy Goods Till with money from their Pochi account.
Lipa na Pochi on M-PESA App
On the App merchant will
Lipa na Pochi on USSD

Launch M-PESA App
Click on the icon at the top left conner of the screen.
Select Pay
To pay to a Buy Goods till, select Buy Goods and Services >>Enter till number.
To pay to a Paybill, select PayBill >> Enter Business Number>> Enter Account Number
Enter Amount
Enter M-PESA PIN
"
643,What purpose does Know more about Pochi La Biashara menu serve?,"
The ‘Know more about Pochi’ feature allows business owners to access frequently asked questions (FAQs) and learn more about this innovative product. To access this feature, the business owner will:

Dial*334#
Selects Pochi La Biashara
Select Know more about Pochi and the FAQs will be displayed.
"
644,What is Biashara Smart?,"
To help boost Pochi la Biashara merchant business, Safaricom has offered subsidized bundles that are affordable to the merchants. To access your offer: To access this feature, the business owner will:

Dial*334#
Selects Pochi La Biashara
Select Biashara Smart
Select Daily or Monthly bundles and proceed to purchase using funds in the Pochi la Biashara account
"
645,How can customers leave the service/opt out?,"
On the M-PESA App,
To opt out of Pochi using USSD merchant will:
Note: Upon opting out, any funds on the Pochi account will instantly be moved to the personal M-PESA account.

Launch the app,
Click on the Pochi la Biashara icon at the top right of the screen.
Select Pochi la Biashara.
Click on the three dots at the top right of the screen.
Select Opt out.
"
646,What is the Lipa Na M-PESA Do More promotion?,"
The Lipa Na M-PESA Do More Promotion is an 8-week promotion to reward businesses for collecting payments and using Lipa Na M-PESA. The promotion is entry-based; 1 entry will be awarded for every KShs.100 and above collected or transacted via Lipa Na M-PESA Buy Goods.

"
647,When will the promotion start?,"
The promotion will run from 8th January 2020 to 5th March 2020.

"
648,Which Lipa Na M-PESA transactions qualify for the promotion?,"
All transactions done from the till qualify for the promotion

"
649,Will a Lipa Na M-PESA merchant till be required to opt in?,"
No. Any Lipa Na M-PESA transaction over KShs.100 accepted on your till at the beginning of the promotion will automatically opt in the merchant..

"
650,How will Lipa Na M-PESA merchants:,"
1.Check their points?
Dial *234# from the nominated number
2.Check winnings?
Dial *234# from the nominated number

Select 9 > Merchant Promo
Select 1 > Check My Points
"
651,What are the promotion mechanics for merchants?,"

"
652,Which are the listed eight (8) regions?,"

Nairobi
Coast
Mt. Kenya
Western
Nyanza
Rift Valley
Eastern
North Eastern
"
653,What are the prizes to be won?,"
Winners will be selected randomly as shown below:
Merchant Winnings               Frequency                         Quantity
25% Cash Back
Daily
All merchants
Tuk-Tuks
Biweekly draws
5 per region
Canters
Grand draw
1 per region

"
654,When and how will the draws be done?,"
Biweekly merchant draws will be done every Monday. The grand prize draws will be done on 5th March 2020. All weekend draws (Saturday and Sunday) will be done on Monday, together with the Monday draws. Public holiday draws will be done on the next weekday of working day as the case may be.

"
655,How will merchants be informed of their winnings?,"
Grand Prize and Biweekly winners will only be contacted through the official Safaricom Number 0722 000000. Daily winners will be contacted via SMS, whose header will be ‘LIPA NA M-PESA’.

"
656,"If a transaction is reversed, will the entries be reversed as well?","
Yes. The entries will be reversed.

"
657,In case of any query who can be contacted?,"

Call 234 or 100
Safaricom Retail Shops
"
658,What is the Lipa Na M-PESA Do More promotion?,"
TThe Lipa Na M-PESA Do More Promotion is an 8-week promotion to reward customers for using Lipa Na M-PESA. The promotion is entry-based; 1 entry will be awarded for every KShs.100 and above transacted.

"
659,Which Lipa Na M-PESA transactions qualify for the promotion?,"

Buy Goods Transactions
Pay Bill Transactions
"
660,When will the promotion start?,"
The promotion will run from 8th January 2020 to 5th March 2020.All Safaricom customers are eligible for the Safaricom Guarantee when they call another Safaricom customer in Kenya.

"
661,Will I be required to opt in?,"
No. Any Lipa Na M-PESA transaction over KShs.100 at the beginning of the promotion will automatically opt you in.

"
662,How will I:,"
1.Check my entries?
Dial *234# from your Safaricom line
Message prompt “You have XX entries in the Lipa Na M-PESA Promotion. The more entries you have, the more chances you have to be a winner”.
2.Check winnings?
Dial *234# from your Safaricom line
3.Opt out?
To opt out, dial *234# from your Safaricom line
4.Opt Back In?
To opt back in, dial *234# from your Safaricom line

Select 8 > M-PESA Promos
Select 0 > Lipa Na M-PESA Promotion
Select 1 > Check My Entries
"
